# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
174 0.725 0.425 3.09538e-05 -7.38846e-06 2.84392e-05 6.63168e+06 437927 2.29701e+06 7.55616e+06
175 0.775 0.425 3.61094e-05 -7.37467e-06 3.6115e-05 7.82238e+06 798033 2.91698e+06 9.00613e+06
176 0.825 0.425 4.102e-05 -5.46869e-06 4.93911e-05 9.08756e+06 1.57784e+06 3.98928e+06 1.08847e+07
177 0.875 0.425 4.32155e-05 3.12862e-07 7.08682e-05 9.99446e+06 3.06404e+06 5.72397e+06 1.33021e+07
178 0.925 0.425 3.24833e-05 2.38408e-05 9.74246e-05 9.14667e+06 7.75057e+06 7.86891e+06 1.60811e+07
179 0.975 0.425 -9.20833e-06 2.26307e-05 2.41142e-05 -558259 4.58497e+06 1.94769e+06 5.93916e+06
180 0.025 0.475 -4.16328e-05 5.77498e-06 2.06345e-05 -9.20776e+06 -1.54958e+06 1.66663e+06 9.01382e+06
181 0.075 0.475 -3.56365e-05 1.0439e-05 9.5827e-06 -7.5011e+06 -58149.1 773988 7.5915e+06
182 0.125 0.475 -2.96839e-05 8.69813e-06 7.65254e-06 -6.24795e+06 -47777.8 618090 6.3156e+06
183 0.175 0.475 -2.43513e-05 7.28672e-06 7.20285e-06 -5.11506e+06 -4305.78 581769 5.21126e+06
184 0.225 0.475 -1.91348e-05 5.73294e-06 7.11604e-06 -4.01882e+06 -1728.98 574757 4.13945e+06
185 0.275 0.475 -1.39562e-05 4.18372e-06 7.09189e-06 -2.93102e+06 -724.25 572806 3.09404e+06
186 0.325 0.475 -8.79439e-06 2.63299e-06 7.06342e-06 -1.84719e+06 -1229.2 570507 2.09435e+06
187 0.375 0.475 -3.65289e-06 1.09024e-06 7.02615e-06 -767496 -1298.71 567496 1.24668e+06
188 0.425 0.475 1.47081e-06 -4.43587e-07 6.99787e-06 308707 -541.144 565213 1.02658e+06
189 0.475 0.475 6.59567e-06 -1.97224e-06 7.00848e-06 1.38554e+06 1491.81 566070 1.69675e+06
190 0.525 0.475 1.17667e-05 -3.50629e-06 7.10285e-06 2.47265e+06 5475.85 573692 2.66231e+06
191 0.575 0.475 1.7069e-05 -5.06588e-06 7.35201e-06 3.58828e+06 12650.4 593816 3.72671e+06
192 0.625 0.475 2.26518e-05 -6.68626e-06 7.8743e-06 4.76445e+06 25219.7 636001 4.8779e+06
193 0.675 0.475 2.87713e-05 -8.424e-06 8.87651e-06 6.05632e+06 47857.4 716949 6.15902e+06
194 0.725 0.475 3.58708e-05 -1.03779e-05 1.07448e-05 7.55942e+06 88464.4 867850 7.66442e+06
195 0.775 0.475 4.4725e-05 -1.26366e-05 1.42825e-05 9.4463e+06 180194 1.15358e+06 9.56844e+06
196 0.825 0.475 5.68353e-05 -1.55625e-05 2.14114e-05 1.20384e+07 343408 1.72938e+06 1.22425e+07
197 0.875 0.475 7.46851e-05 -1.74391e-05 3.78577e-05 1.60277e+07 1.1461e+06 3.05774e+06 1.63671e+07
198 0.925 0.475 0.00010527 -2.40358e-05 8.16693e-05 2.26291e+07 1.74121e+06 6.59637e+06 2.4622e+07
199 0.975 0.475 0.000141534 2.75894e-05 0.000220448 3.45717e+07 1.61653e+07 1.78054e+07 4.29972e+07
