# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
133 0.675 0.325 3.41358e-05 -1.50735e-05 -1.05695e-05 6.83395e+06 -1.11524e+06 -853694 7.59964e+06
134 0.725 0.325 3.67508e-05 -1.68229e-05 -1.55368e-05 7.3163e+06 -1.33792e+06 -1.25489e+06 8.3565e+06
135 0.775 0.325 3.99099e-05 -1.80455e-05 -2.28293e-05 7.96067e+06 -1.40136e+06 -1.84391e+06 9.31085e+06
136 0.825 0.325 4.30646e-05 -1.7484e-05 -3.45151e-05 8.72755e+06 -1.05338e+06 -2.78775e+06 1.0478e+07
137 0.875 0.325 4.42439e-05 -1.28023e-05 -5.49523e-05 9.32383e+06 108662 -4.43846e+06 1.20429e+07
138 0.925 0.325 3.31448e-05 9.82614e-06 -8.27064e-05 8.32907e+06 4.56221e+06 -6.68013e+06 1.36404e+07
139 0.975 0.325 -5.62599e-06 1.29878e-05 -2.17714e-05 -399153 2.60768e+06 -1.75846e+06 4.15653e+06
140 0.025 0.375 2.55462e-05 -1.56366e-06 -6.33583e-06 5.78703e+06 1.40774e+06 -511741 5.30193e+06
141 0.075 0.375 2.72484e-05 -4.45533e-06 -5.02033e-06 5.97965e+06 858276 -405488 5.64393e+06
142 0.125 0.375 2.83226e-05 -6.57587e-06 -2.7679e-06 6.08074e+06 443289 -223561 5.88441e+06
143 0.175 0.375 2.86545e-05 -7.73558e-06 -8.329e-07 6.07704e+06 198638 -67272.7 5.98133e+06
144 0.225 0.375 2.87178e-05 -8.29213e-06 1.95536e-07 6.0531e+06 74583.9 15793.3 6.01622e+06
145 0.275 0.375 2.87032e-05 -8.5858e-06 5.78528e-07 6.02942e+06 5809.94 46727.2 6.02706e+06
146 0.325 0.375 2.86757e-05 -8.76583e-06 5.31388e-07 6.0106e+06 -37642.5 42919.8 6.02997e+06
147 0.375 0.375 2.86606e-05 -8.92483e-06 1.62983e-07 5.99612e+06 -75377.4 13164 6.03421e+06
148 0.425 0.375 2.86747e-05 -9.12821e-06 -5.23127e-07 5.98529e+06 -121338 -42252.6 6.04732e+06
149 0.475 0.375 2.87361e-05 -9.431e-06 -1.60967e-06 5.9785e+06 -186961 -130012 6.07831e+06
150 0.525 0.375 2.88685e-05 -9.88062e-06 -3.24858e-06 5.97791e+06 -281558 -262385 6.14039e+06
151 0.575 0.375 2.90999e-05 -1.05086e-05 -5.64061e-06 5.98785e+06 -410460 -455587 6.25326e+06
152 0.625 0.375 2.94527e-05 -1.13032e-05 -9.00486e-06 6.01424e+06 -569406 -727316 6.44258e+06
153 0.675 0.375 2.99041e-05 -1.21434e-05 -1.35364e-05 6.06025e+06 -732029 -1.09332e+06 6.7294e+06
154 0.725 0.375 3.02826e-05 -1.26693e-05 -1.93684e-05 6.11118e+06 -827195 -1.56437e+06 7.10124e+06
155 0.775 0.375 3.00249e-05 -1.20394e-05 -2.65462e-05 6.09532e+06 -699685 -2.14412e+06 7.46317e+06
156 0.825 0.375 2.77306e-05 -8.76759e-06 -3.47458e-05 5.79238e+06 -103479 -2.80639e+06 7.60193e+06
157 0.875 0.375 2.03271e-05 5.39029e-08 -4.1026e-05 4.6946e+06 1.4197e+06 -3.31364e+06 7.0944e+06
